ReturnID,OrderID,ReturnDate,ReturnReason,RefundAmount
900093,501106,2026-03-17,Late Delivery,905.43
900094,501107,2025-02-11,Late Delivery,258.77
900095,501152,2026-07-15,Late Delivery,522.18
900096,501162,2025-02-21,Wrong Product,2591.82
900097,501163,2026-03-27,Damaged,258.69
900098,501177,2025-02-16,Damaged,402.2
900099,501182,2025-09-07,Poor Quality,1084.01
900100,501209,2026-01-09,Late Delivery,3498.33
900101,501237,2025-03-07,Poor Quality,96.73
900102,501238,2026-03-23,Late Delivery,2386.66
900103,501260,2025-10-02,Late Delivery,2306.34
900104,501269,2025-03-18,Late Delivery,1306.72
900105,501275,2026-04-22,Damaged,3669.92
900106,501283,2026-07-09,Late Delivery,196.88
900107,501292,2025-09-10,Late Delivery,3522.33
900108,501319,2025-05-19,Poor Quality,575.51
900109,501327,2025-07-23,Poor Quality,3054.48
900110,501331,2026-02-05,Changed Mind,938.89
900111,501333,2026-01-15,Poor Quality,2890.0
900112,501364,2025-04-13,Not as Described,333.24
900113,501378,2025-04-01,Poor Quality,1903.08
900114,501381,2025-09-13,Not as Described,75.96
900115,501383,2025-12-13,Wrong Product,3341.53
900116,501385,2025-05-04,Damaged,3655.64
900117,501387,2026-05-17,Not as Described,623.12
900118,501388,2025-10-15,Not as Described,2284.0
900119,501399,2026-05-12,Poor Quality,217.98
900120,501402,2026-05-25,Poor Quality,755.83
900121,501407,2025-03-03,Late Delivery,843.38
900122,501410,2026-02-28,Changed Mind,517.49
900123,501413,2026-05-25,Poor Quality,556.29
900124,501422,2026-04-11,Damaged,468.03
900125,501423,2025-03-01,Poor Quality,1029.12
900126,501428,2025-02-10,Late Delivery,581.6
900127,501440,2025-07-11,Damaged,463.9
900128,501445,2026-06-20,Damaged,1923.8
900129,501446,2025-01-09,Changed Mind,66.82
900130,501454,2025-12-25,Damaged,944.44
900131,501480,2025-09-22,Poor Quality,703.96
900132,501490,2026-04-27,Late Delivery,1526.66
900133,501510,2025-11-23,Not as Described,2642.88
900134,501514,2026-05-11,Poor Quality,3578.3
900135,501533,2026-04-07,Damaged,5189.95
900136,501545,2025-11-22,Unknown,289.72
900137,501562,2025-03-09,Wrong Product,228.94
900138,501565,2026-01-05,Damaged,2457.35
900139,501569,2025-11-13,Poor Quality,1950.65
900140,501574,2025-06-11,Wrong Product,3622.69
900141,501575,2025-04-21,Not as Described,525.16
900142,501580,2025-03-10,Poor Quality,1189.9
900143,501581,2026-06-11,Poor Quality,327.91
900144,501586,2026-01-12,Changed Mind,2092.51
900145,501588,2026-06-17,Damaged,2011.81
900146,501595,2025-06-10,Wrong Product,1056.86
900147,501600,2025-02-02,Damaged,591.95
900148,501636,2026-01-04,Not as Described,6832.97
900149,501642,2026-02-08,Poor Quality,1250.44
900150,501651,2025-09-09,Late Delivery,3716.29
900151,501662,2026-03-12,Damaged,1596.04
900152,501669,2026-05-29,Unknown,80.81
900153,501679,2025-08-10,Not as Described,170.19
900154,501685,2026-01-22,Poor Quality,3704.23
900155,501691,2026-06-15,Wrong Product,1038.41
900156,501717,2025-02-11,Damaged,837.19
900157,501718,2025-08-08,Damaged,16886.18
900158,501719,2025-09-02,Damaged,1379.72
900159,501729,2026-04-07,Poor Quality,414.94
900160,501737,2026-01-29,Damaged,398.49
900161,501745,2026-03-22,Late Delivery,2517.52
900162,501762,2026-01-08,Poor Quality,1470.81
900163,501766,2025-10-06,Changed Mind,660.21
900164,501781,2025-05-01,Not as Described,578.33
900165,501804,2026-04-17,Poor Quality,145.17
900166,501814,2026-02-19,Late Delivery,698.42
900167,501817,2025-07-12,Poor Quality,445.13
900168,501830,2026-05-09,Wrong Product,918.38
900169,501881,2026-06-19,Damaged,3268.1
900170,501883,2026-06-02,Damaged,2301.65
900171,501885,2025-07-13,Damaged,6007.59
900172,501887,2025-04-14,Damaged,522.23
900173,501910,2025-03-09,Poor Quality,6052.74
900174,501920,2026-03-14,Damaged,67.07
900175,501926,2026-07-27,Changed Mind,617.04
900176,501949,2026-04-30,Poor Quality,3078.09
900177,501951,2025-04-16,Late Delivery,1348.17
900178,501971,2025-12-23,Damaged,675.09
900179,502001,2025-07-25,Damaged,8315.59
900180,502017,2026-02-21,Wrong Product,467.44
900181,502020,2025-06-29,Wrong Product,613.56
900182,502021,2026-06-19,Poor Quality,794.42
900183,502024,2025-03-04,Not as Described,1738.52
900184,502033,2025-07-16,Not as Described,594.87
900185,502059,2025-12-09,Late Delivery,47.69
900186,502078,2026-06-11,Changed Mind,1947.03
900187,502103,2025-02-02,Wrong Product,12025.39
900188,502124,2026-05-31,Wrong Product,848.48
900189,502160,2025-10-26,Unknown,1473.92
900190,502169,2025-12-17,Poor Quality,387.89
900191,502174,2026-03-17,Changed Mind,227.92
900192,502179,2025-10-22,Poor Quality,359.68
900193,502186,2025-02-04,Wrong Product,3062.68
900194,502190,2026-03-12,Late Delivery,324.34
900195,502209,2026-01-19,Damaged,3408.41
900196,502212,2026-01-19,Not as Described,212.25
900197,502220,2026-03-30,Wrong Product,194.33
900198,502222,2025-08-10,Poor Quality,894.69
900199,502277,2025-03-12,Changed Mind,1326.49
900200,502288,2025-12-26,Not as Described,16528.01
900201,502295,2025-07-25,Late Delivery,632.88
900202,502308,2025-09-24,Changed Mind,3487.41
900203,502319,2025-07-29,Poor Quality,3559.3
900204,502328,2025-02-16,Poor Quality,943.32
900205,502331,2025-01-28,Not as Described,314.92
900206,502350,2026-06-28,Wrong Product,7219.02
900207,502378,2025-11-01,Changed Mind,3444.1
900208,502380,2026-01-30,Late Delivery,3336.39
900209,502381,2026-01-02,Late Delivery,2052.84
900210,502391,2025-06-03,Damaged,1173.75
900211,502396,2025-11-18,Poor Quality,1722.54
900212,502398,2025-06-29,Not as Described,839.42
900213,502412,2025-02-25,Poor Quality,840.43
900214,502413,2026-03-29,Damaged,1414.55
900215,502432,2025-01-25,Late Delivery,941.72
900216,502437,2026-03-07,Poor Quality,2148.5
900217,502444,2025-01-20,Wrong Product,86.9
900218,502461,2026-04-28,Not as Described,1019.52
900219,502466,2026-06-09,Changed Mind,498.4
900220,502469,2026-05-28,Wrong Product,1581.68
900221,502479,2025-04-04,Damaged,1843.72
900222,502507,2026-05-30,Damaged,833.34
900223,502509,2026-01-24,Changed Mind,1661.44
900224,502520,2025-03-17,Wrong Product,2244.76
900225,502535,2025-09-01,Poor Quality,5766.32
900226,502552,2026-01-21,Changed Mind,1243.41
900227,502561,2026-06-30,Poor Quality,1018.37
900228,502564,2025-11-13,Poor Quality,2115.09
900229,502566,2026-06-21,Changed Mind,1515.3
900230,502568,2025-09-15,Not as Described,6074.46
900231,502584,2025-07-12,Damaged,1011.08
900232,502586,2025-03-13,Not as Described,1315.97
900233,502587,2025-09-30,Wrong Product,2446.28
900234,502599,2025-12-02,Wrong Product,1143.55
900235,502623,2026-04-12,Damaged,665.47
900236,502625,2025-03-02,Poor Quality,1842.42
900237,502629,2025-03-05,Not as Described,295.52
900238,502637,2026-01-04,Wrong Product,1542.92
900239,502639,2025-12-26,Damaged,173.54
900240,502653,2026-03-31,Late Delivery,2762.55
900241,502677,2025-08-14,Not as Described,678.9
900242,502680,2025-08-02,Poor Quality,680.69
900243,502692,2025-06-28,Unknown,2468.03
900244,502697,2026-07-01,Wrong Product,1176.6
900245,502706,2025-09-29,Poor Quality,584.47
900246,502742,2025-11-06,Changed Mind,389.87
900247,502754,2026-06-14,Changed Mind,534.05
900248,502795,2025-05-26,Damaged,226.19
900249,502807,2025-12-04,Damaged,351.56
900250,502825,2025-12-19,Unknown,1179.96
900251,502826,2025-10-05,Unknown,803.78
900252,502840,2026-06-09,Damaged,3638.88
900253,502850,2025-12-03,Damaged,1059.14
900254,502865,2026-04-18,Poor Quality,999.4
900255,502877,2025-05-17,Poor Quality,1517.2
900256,502880,2026-03-22,Late Delivery,542.69
900257,502911,2025-12-02,Poor Quality,3784.12
900258,502915,2025-12-30,Wrong Product,2457.31
900259,502916,2026-06-22,Wrong Product,950.41
900260,502917,2026-05-26,Poor Quality,1000.69
900261,502919,2025-12-13,Poor Quality,2561.03
900262,502925,2026-06-28,Wrong Product,284.84
900263,502940,2026-07-13,Changed Mind,746.88
900264,502946,2025-08-29,Poor Quality,2397.08
900265,502950,2025-11-08,Not as Described,1396.76
900266,502956,2026-05-24,Poor Quality,761.5
900267,502960,2025-08-26,Changed Mind,1114.24
900268,502962,2026-01-29,Changed Mind,1329.48
900269,502967,2025-05-02,Wrong Product,425.03
900270,502979,2026-04-26,Not as Described,3031.93
900271,502980,2026-07-07,Poor Quality,6475.47
900272,502982,2026-01-02,Wrong Product,1407.6
900273,502984,2025-03-13,Not as Described,3968.95
900274,502990,2025-02-28,Wrong Product,1437.67
900275,503027,2026-03-14,Poor Quality,588.84
900276,503029,2026-01-12,Wrong Product,3709.48
900277,503030,2026-06-19,Changed Mind,1124.17
900278,503041,2025-02-21,Damaged,301.58
900279,503046,2026-04-03,Poor Quality,441.62
900280,503056,2026-04-21,Not as Described,279.62
900281,503061,2026-07-20,Wrong Product,5897.29
900282,503065,2025-06-30,Changed Mind,974.25
900283,503066,2026-01-14,Wrong Product,3201.43
900284,503087,2025-12-08,Changed Mind,3888.75
900285,503094,2026-06-01,Poor Quality,1172.63
900286,503108,2026-03-19,Changed Mind,1802.04
900287,503110,2026-02-20,Poor Quality,909.63
900288,503123,2025-03-14,Changed Mind,7273.79
900289,503139,2026-02-08,Poor Quality,2135.96
900290,503141,2026-07-01,Late Delivery,1380.41
900291,503143,2025-02-05,Changed Mind,3662.27
900292,503144,2025-04-03,Poor Quality,282.1
900293,503152,2025-04-24,Changed Mind,1264.04
900294,503162,2025-07-15,Changed Mind,906.67
900295,503169,2025-10-30,Late Delivery,827.72
900296,503174,2026-03-26,Damaged,93.09
900297,503178,2025-12-16,Late Delivery,827.81
900298,503182,2025-07-19,Changed Mind,915.81
900299,503184,2025-09-20,Wrong Product,4311.37
900300,503185,2025-10-09,Damaged,1305.34
900301,503189,2025-05-13,Poor Quality,3850.99
900302,503204,2026-01-23,Not as Described,1607.54
900303,503206,2026-03-07,Late Delivery,196.44
900304,503207,2026-04-17,Not as Described,1659.63
900305,503227,2026-04-10,Poor Quality,173.08
900306,503229,2026-01-30,Not as Described,11310.63
900307,503244,2026-02-12,Damaged,1527.54
900308,503258,2026-04-14,Damaged,1817.32
900309,503263,2026-01-04,Not as Described,8460.04
900310,503265,2025-06-27,Poor Quality,485.88
900311,503269,2026-02-23,Unknown,80.86
900312,503285,2025-01-19,Poor Quality,3765.4
900313,503286,2025-06-07,Damaged,882.66
900314,503290,2026-04-15,Wrong Product,2703.69
900315,503292,2026-06-30,Not as Described,576.73
900316,503294,2025-03-25,Damaged,341.85
900317,503298,2026-03-28,Poor Quality,413.18
900318,503320,2025-05-20,Poor Quality,611.39
900319,503357,2025-01-27,Damaged,423.7
900320,503362,2025-09-16,Not as Described,521.57
900321,503374,2026-05-20,Poor Quality,643.35
900322,503378,2025-11-06,Poor Quality,2330.96
900323,503380,2025-08-18,Poor Quality,371.65
900324,503400,2026-03-08,Late Delivery,292.96
900325,503419,2025-08-02,Late Delivery,2306.28
900326,503425,2025-08-28,Poor Quality,2414.77
900327,503436,2026-02-24,Poor Quality,2074.82
900328,503441,2025-06-11,Not as Described,803.92
900329,503457,2026-01-08,Wrong Product,464.48
900330,503459,2025-12-10,Not as Described,665.11
900331,503475,2026-06-21,Changed Mind,4107.37
900332,503477,2026-03-05,Poor Quality,576.9
900333,503480,2025-09-29,Poor Quality,2698.27
900334,503492,2026-03-26,Damaged,4368.25
900335,503532,2025-05-11,Wrong Product,1180.68
900336,503571,2026-03-11,Not as Described,2449.45
900337,503575,2025-07-13,Damaged,1674.06
900338,503586,2025-12-24,Damaged,3298.92
900339,503596,2025-05-08,Poor Quality,209.14
900340,503614,2025-03-26,Damaged,2538.41
900341,503625,2025-01-10,Not as Described,2342.25
900342,503636,2025-04-19,Wrong Product,1886.63
900343,503642,2025-10-25,Poor Quality,751.75
900344,503653,2026-06-20,Poor Quality,390.76
900345,503684,2026-06-26,Changed Mind,2416.54
900346,503707,2026-01-01,Not as Described,1462.34
900347,503730,2026-01-23,Changed Mind,1789.52
900348,503732,2025-05-10,Damaged,176.28
900349,503757,2025-12-27,Wrong Product,544.37
900350,503758,2025-02-28,Changed Mind,655.24
900351,503773,2025-10-10,Poor Quality,376.98
900352,503775,2025-06-15,Not as Described,632.89
900353,503784,2025-12-27,Damaged,14365.19
900354,503807,2026-01-24,Poor Quality,768.78
900355,503810,2026-02-11,Late Delivery,821.22
900356,503816,2026-06-14,Late Delivery,786.0
900357,503833,2025-03-15,Late Delivery,497.21
900358,503841,2025-11-18,Changed Mind,1647.17
900359,503844,2025-02-03,Poor Quality,102.08
900360,503851,2026-04-15,Wrong Product,1614.03
900361,503852,2025-03-27,Not as Described,311.27
900362,503870,2025-07-18,Damaged,2541.6
900363,503873,2025-03-16,Damaged,1254.47
900364,503882,2026-05-15,Changed Mind,319.18
900365,503883,2025-12-28,Late Delivery,3064.2
900366,503899,2025-01-21,Not as Described,2028.93
900367,503901,2025-11-24,Not as Described,1236.22
900368,503940,2025-11-22,Wrong Product,1004.1
900369,503947,2025-10-31,Poor Quality,321.21
900370,503959,2025-08-19,Poor Quality,6284.41
900371,503961,2025-11-02,Not as Described,2241.32
900372,503974,2025-02-10,Changed Mind,2400.67
900373,503981,2025-12-03,Not as Described,2032.33
900374,503994,2025-03-04,Wrong Product,4640.65
900375,503995,2025-12-05,Not as Described,5295.44
900376,503999,2026-02-09,Changed Mind,75.23
900377,504001,2026-04-20,Wrong Product,2595.02
900378,504010,2025-05-05,Poor Quality,1184.31
900379,504012,2026-06-09,Poor Quality,182.29
900380,504015,2025-06-26,Late Delivery,632.08
900381,504032,2025-10-19,Changed Mind,2101.46
900382,504038,2025-08-03,Poor Quality,223.89
900383,504046,2025-03-25,Damaged,694.65
900384,504061,2025-09-16,Poor Quality,1770.71
900385,504064,2025-08-09,Poor Quality,13573.98
900386,504073,2025-08-01,Late Delivery,397.23
900387,504074,2025-06-02,Poor Quality,734.21
900388,504078,2026-07-11,Poor Quality,1742.36
900389,504093,2026-02-03,Poor Quality,494.62
900390,504097,2025-03-26,Damaged,504.36
900391,504104,2026-04-23,Changed Mind,470.69
900392,504121,2025-10-29,Changed Mind,306.27
900393,504122,2025-09-02,Damaged,782.04
900394,504126,2025-07-09,Poor Quality,2709.25
900395,504133,2026-06-03,Wrong Product,930.86
900396,504138,2026-01-29,Wrong Product,2428.1
900397,504149,2026-04-24,Changed Mind,324.03
900398,504151,2025-07-10,Wrong Product,3777.64
900399,504177,2025-10-01,Damaged,1007.54
900400,504192,2025-11-18,Not as Described,1177.22
900401,504194,2026-06-23,Poor Quality,3143.94
900402,504209,2025-09-27,Not as Described,2634.79
900403,504211,2025-03-20,Late Delivery,1611.82
900404,504231,2025-10-15,Not as Described,644.1
900405,504239,2025-07-01,Not as Described,956.86
900406,504243,2025-01-25,Late Delivery,2825.39
900407,504272,2026-05-27,Damaged,1493.46
900408,504277,2026-02-18,Damaged,10227.75
900409,504299,2025-01-31,Unknown,2427.24
900410,504326,2025-04-18,Damaged,364.83
900411,504336,2025-08-04,Changed Mind,885.45
900412,504357,2026-03-27,Late Delivery,1152.1
900413,504369,2025-11-22,Damaged,1495.19
900414,504405,2025-05-13,Late Delivery,2597.9
900415,504427,2025-07-01,Late Delivery,2911.09
900416,504454,2026-03-25,Late Delivery,609.19
900417,504473,2026-01-18,Damaged,2407.67
900418,504476,2026-05-07,Late Delivery,759.65
900419,504478,2026-02-02,Damaged,6948.66
900420,504487,2025-09-04,Wrong Product,484.3
900421,504494,2025-05-29,Poor Quality,366.65
900422,504497,2026-05-29,Poor Quality,850.61
900423,504525,2025-08-16,Late Delivery,2166.82
900424,504544,2026-01-04,Not as Described,1019.34
900425,504545,2025-03-05,Poor Quality,1724.25
900426,504590,2025-08-24,Changed Mind,91.77
900427,504598,2025-02-05,Late Delivery,475.8
900428,504599,2026-04-22,Poor Quality,269.95
900429,504608,2025-06-18,Damaged,405.74
900430,504612,2025-05-18,Changed Mind,1628.02
900431,504624,2026-07-03,Not as Described,1489.33
900432,504627,2025-12-12,Poor Quality,984.2
900433,504629,2026-06-24,Changed Mind,1445.74
900434,504638,2025-08-14,Not as Described,3717.06
900435,504651,2026-05-23,Not as Described,412.91
900436,504653,2025-02-06,Wrong Product,336.41
900437,504656,2025-09-17,Poor Quality,1569.22
900438,504661,2025-04-01,Not as Described,2609.95
900439,504672,2025-07-19,Poor Quality,1732.81
900440,504680,2025-05-18,Damaged,1011.92
900441,504684,2026-03-26,Poor Quality,1078.9
900442,504698,2026-06-22,Wrong Product,142.95
900443,504709,2025-05-09,Wrong Product,271.16
900444,504713,2025-11-30,Wrong Product,616.19
900445,504714,2025-09-29,Damaged,452.11
900446,504716,2026-05-18,Late Delivery,171.59
900447,504720,2026-05-16,Wrong Product,3082.91
900448,504726,2026-06-06,Unknown,3789.33
900449,504733,2025-07-29,Late Delivery,589.22
900450,504750,2026-05-11,Late Delivery,4370.74
900451,504751,2025-01-28,Not as Described,2514.62
900452,504761,2025-12-19,Poor Quality,1233.04
900453,504770,2025-02-15,Poor Quality,253.1
900454,504784,2025-08-02,Poor Quality,273.6
900455,504802,2025-03-28,Not as Described,1058.62
900456,504810,2026-02-15,Late Delivery,544.09
900457,504815,2026-04-19,Damaged,2413.5
900458,504848,2025-08-06,Unknown,2186.0
900459,504853,2026-05-07,Late Delivery,802.81
900460,504856,2025-03-21,Not as Described,1593.44
900461,504857,2025-08-13,Changed Mind,1384.75
900462,504861,2025-09-03,Not as Described,287.98
900463,504863,2025-03-20,Not as Described,766.35
900464,504871,2025-11-05,Wrong Product,1048.22
900465,504874,2025-06-22,Changed Mind,1106.54
900466,504876,2026-01-19,Poor Quality,1523.33
900467,504891,2025-09-24,Not as Described,783.53
900468,504908,2025-05-12,Not as Described,300.06
900469,504909,2025-07-31,Damaged,302.37
900470,504941,2025-07-10,Poor Quality,236.9
900471,504983,2025-08-09,Poor Quality,1087.47
900472,504993,2025-11-12,Damaged,1479.61
900473,505004,2026-06-09,Poor Quality,667.34
900474,505018,2025-03-12,Changed Mind,4298.59
900475,505026,2025-01-25,Damaged,295.35
900476,505032,2025-03-26,Wrong Product,397.47
900477,505034,2026-06-29,Poor Quality,2578.13
900478,505050,2025-09-29,Poor Quality,4992.36
900479,505073,2026-05-06,Poor Quality,2589.3
900480,505077,2026-05-25,Damaged,5628.34
900481,505090,2025-05-05,Late Delivery,1855.25
900482,505093,2026-04-13,Late Delivery,973.18
900483,505106,2025-05-30,Not as Described,845.38
900484,505116,2026-02-09,Not as Described,4226.77
900485,505120,2026-04-12,Late Delivery,577.88
900486,505121,2025-06-08,Not as Described,3335.16
900487,505132,2025-08-29,Not as Described,482.85
900488,505142,2026-02-17,Changed Mind,750.22
900489,505147,2026-01-04,Late Delivery,1637.39
900490,505157,2025-09-13,Wrong Product,90.22
900491,505159,2025-03-11,Late Delivery,970.42
900492,505172,2025-09-08,Poor Quality,2235.68
900493,505189,2025-02-17,Changed Mind,238.24
900494,505228,2025-12-10,Late Delivery,773.13
900495,505252,2025-08-18,Late Delivery,303.01
900496,505258,2026-06-18,Damaged,6068.86
900497,505268,2025-09-30,Changed Mind,731.01
900498,505273,2025-10-14,Damaged,3616.74
900499,505275,2025-11-27,Poor Quality,1280.0
900500,505277,2025-08-30,Changed Mind,2393.61
900501,505284,2026-07-16,Wrong Product,300.3
900502,505285,2025-10-03,Unknown,1909.65
900503,505290,2025-06-22,Late Delivery,1200.43
900504,505292,2025-02-21,Poor Quality,1941.43
900505,505293,2025-08-29,Late Delivery,704.68
900506,505299,2026-06-22,Poor Quality,690.64
900507,505308,2026-04-03,Poor Quality,215.61
900508,505334,2026-02-11,Poor Quality,1341.3
900509,505350,2025-05-15,Wrong Product,1356.85
900510,505354,2025-04-19,Poor Quality,485.22
900511,505362,2025-07-01,Unknown,511.13
900512,505374,2025-02-20,Late Delivery,806.65
900513,505376,2025-03-11,Poor Quality,1036.84
900514,505388,2025-07-13,Damaged,777.63
900515,505389,2025-02-22,Late Delivery,555.53
900516,505395,2025-10-06,Damaged,1637.58
900517,505413,2026-06-15,Late Delivery,2675.25
900518,505429,2025-08-27,Poor Quality,1761.67
900519,505434,2025-05-06,Late Delivery,669.56
900520,505440,2025-02-13,Damaged,1037.93
900521,505451,2026-05-18,Changed Mind,1068.65
900522,505453,2025-08-04,Changed Mind,1953.97
900523,505464,2025-12-10,Poor Quality,267.16
900524,505466,2025-11-17,Wrong Product,758.68
900525,505478,2025-05-30,Not as Described,301.09
900526,505489,2025-11-01,Poor Quality,1336.07
900527,505490,2025-11-17,Unknown,2244.48
900528,505497,2025-07-28,Late Delivery,620.68
900529,505509,2026-01-15,Poor Quality,767.55
900530,505510,2025-05-01,Changed Mind,690.66
900531,505532,2026-07-02,Poor Quality,2892.02
900532,505549,2025-01-19,Damaged,4228.24
900533,505551,2025-04-03,Poor Quality,1582.01
900534,505557,2025-05-21,Changed Mind,849.36
900535,505558,2025-07-27,Wrong Product,2169.05
900536,505580,2025-04-25,Poor Quality,193.4
900537,505590,2025-02-23,Changed Mind,2029.15
900538,505609,2025-07-26,Wrong Product,1050.16
900539,505624,2025-11-19,Not as Described,2016.72
900540,505625,2025-09-25,Wrong Product,3466.96
900541,505658,2025-05-29,Not as Described,2806.3
900542,505661,2025-10-01,Late Delivery,299.15
900543,505662,2025-06-11,Poor Quality,1098.45
900544,505680,2025-07-02,Not as Described,5044.98
900545,505688,2026-01-06,Late Delivery,119.52
900546,505698,2026-06-20,Poor Quality,682.59
900547,505699,2025-01-23,Not as Described,789.79
900548,505710,2025-09-05,Not as Described,111.42
900549,505724,2025-10-10,Damaged,377.15
900550,505734,2025-07-28,Unknown,1876.09
900551,505747,2025-09-11,Poor Quality,837.09
900552,505751,2026-06-16,Poor Quality,249.08
900553,505752,2026-01-13,Late Delivery,1259.86
900554,505754,2025-11-15,Changed Mind,2171.95
900555,505759,2025-09-13,Damaged,1067.46
900556,505784,2025-03-13,Changed Mind,638.18
900557,505796,2026-06-08,Poor Quality,1261.84
900558,505805,2025-03-22,Damaged,1795.48
900559,505807,2026-03-04,Wrong Product,7810.94
900560,505808,2025-07-25,Poor Quality,395.73
900561,505814,2025-04-06,Late Delivery,1032.07
900562,505829,2026-02-19,Damaged,857.25
900563,505841,2026-05-05,Poor Quality,316.08
900564,505859,2025-07-04,Poor Quality,954.28
900565,505877,2026-05-24,Poor Quality,1762.21
900566,505891,2025-05-03,Wrong Product,1679.46
900567,505894,2025-07-21,Changed Mind,15831.33
900568,505897,2026-02-16,Poor Quality,6312.53
900569,505910,2025-03-19,Changed Mind,1049.93
900570,505943,2025-08-06,Poor Quality,651.64
900571,505952,2026-05-10,Damaged,683.52
900572,505958,2025-02-07,Changed Mind,847.37
900573,505972,2026-06-05,Wrong Product,2568.24
900574,505978,2026-06-11,Damaged,1793.03
900575,505987,2025-04-09,Wrong Product,146.26
900576,506016,2026-06-17,Poor Quality,6543.64
900577,506024,2026-07-03,Not as Described,652.77
900578,506027,2025-12-03,Poor Quality,393.36
900579,506046,2025-08-31,Wrong Product,860.3
900580,506056,2025-05-24,Poor Quality,2309.36
