CustomerID,CustomerName,Gender,Age,Region,CustomerSegment,JoinDate
10034,Customer_10034,Other,59,East,Enterprise,2022-12-19
10035,Customer_10035,Other,41,Central,Enterprise,2025-02-13
10036,Customer_10036,Female,52,North,Consumer,2024-08-12
10037,Customer_10037,Male,31,North,Consumer,2024-11-02
10038,Customer_10038,Male,31,East,Consumer,2022-11-16
10039,Customer_10039,Female,27,East,Consumer,2025-04-03
10040,Customer_10040,Male,29,West,Consumer,2022-03-26
10041,Customer_10041,Male,55,Central,Consumer,2022-09-05
10042,Customer_10042,Female,61,South,Consumer,2025-12-26
10043,Customer_10043,Male,63,North,Small Business,2023-07-22
10044,Customer_10044,Female,51,West,Small Business,2023-11-15
10045,Customer_10045,Male,58,East,Consumer,2023-10-06
10046,Customer_10046,Female,27,North,Consumer,2023-04-24
10047,Customer_10047,Male,34,East,Enterprise,2023-12-14
10048,Customer_10048,Female,34,West,Enterprise,2023-01-03
10049,Customer_10049,Female,20,West,Consumer,2022-12-23
10050,Customer_10050,Male,48,East,Consumer,2023-02-12
10051,Customer_10051,Other,68,South,Consumer,2025-09-30
10052,Customer_10052,Female,18,Central,Consumer,2022-06-28
10053,Customer_10053,Female,29,West,Consumer,2025-12-19
10054,Customer_10054,Female,56,East,Consumer,2025-08-22
10055,Customer_10055,Female,21,South,Consumer,2023-01-02
10056,Customer_10056,Female,59,West,Consumer,2024-11-25
10057,Customer_10057,Male,30,South,Consumer,2023-04-08
10058,Customer_10058,Male,51,North,Enterprise,2024-04-07
10059,Customer_10059,Male,59,East,Consumer,2025-03-15
10060,Customer_10060,Male,38,South,Small Business,2022-05-26
10061,Customer_10061,Male,39,East,Consumer,2023-01-15
10062,Customer_10062,Male,21,North,Consumer,2022-06-17
10063,Customer_10063,Female,35,West,Consumer,2025-07-22
10064,Customer_10064,Male,22,South,Consumer,2022-03-28
10065,Customer_10065,Male,36,North,Consumer,2022-06-03
10066,Customer_10066,Female,19,North,Consumer,2023-05-12
10067,Customer_10067,Male,29,Central,Consumer,2022-11-11
10068,Customer_10068,Female,34,Central,Small Business,2023-12-24
10069,Customer_10069,Male,27,South,Consumer,2025-07-21
10070,Customer_10070,Unknown,51,West,Small Business,2024-02-03
10071,Customer_10071,Female,23,East,Consumer,2022-09-19
10072,Customer_10072,Male,25,Central,Consumer,2023-05-02
10073,Customer_10073,Male,68,South,Consumer,2023-03-30
10074,Customer_10074,Female,28,West,Small Business,2023-03-19
10075,Customer_10075,Female,29,North,Enterprise,2025-07-09
10076,Customer_10076,Female,26,South,Enterprise,2023-06-27
10077,Customer_10077,Female,19,Central,Consumer,2025-02-02
10078,Customer_10078,Male,25,East,Small Business,2022-12-16
10079,Customer_10079,Male,28,South,Consumer,2024-04-03
10080,Customer_10080,Male,53,North,Enterprise,2023-03-14
10081,Customer_10081,Female,27,West,Consumer,2022-06-18
10082,Customer_10082,Female,38,East,Consumer,2025-09-28
10083,Customer_10083,Male,37,South,Consumer,2025-06-07
10084,Customer_10084,Male,65,Central,Consumer,2022-01-23
10085,Customer_10085,Male,25,North,Small Business,2024-09-14
10086,Customer_10086,Male,53,South,Enterprise,2023-11-07
10087,Customer_10087,Female,46,Central,Consumer,2022-10-08
10088,Customer_10088,Female,59,South,Small Business,2023-12-23
10089,Customer_10089,Female,29,South,Small Business,2022-09-10
10090,Customer_10090,Female,31,East,Consumer,2023-02-08
10091,Customer_10091,Male,65,West,Consumer,2022-05-13
10092,Customer_10092,Female,67,North,Consumer,2025-07-21
10093,Customer_10093,Female,38,Central,Consumer,2023-09-10
10094,Customer_10094,Female,39,West,Consumer,2022-08-20
10095,Customer_10095,Female,38,North,Consumer,2023-06-29
10096,Customer_10096,Female,61,West,Consumer,2022-03-20
10097,Customer_10097,Female,67,South,Consumer,2024-11-24
10098,Customer_10098,Male,47,East,Enterprise,2023-05-10
10099,Customer_10099,Male,56,West,Consumer,2025-02-07
10100,Customer_10100,Male,37,Central,Consumer,2025-09-06
10101,Customer_10101,Male,41,North,Consumer,2022-11-24
10102,Customer_10102,Female,40,East,Consumer,2024-08-24
10103,Customer_10103,Male,24,East,Consumer,2023-11-21
10104,Customer_10104,Female,26,South,Consumer,2023-01-19
10105,Customer_10105,Female,18,South,Consumer,2025-10-19
10106,Customer_10106,Male,43,North,Consumer,2025-06-09
10107,Customer_10107,Male,55,West,Consumer,2025-12-08
10108,Customer_10108,Female,55,East,Consumer,2025-08-10
10109,Customer_10109,Male,61,North,Small Business,2023-07-01
10110,Customer_10110,Male,39,West,Consumer,2025-04-12
10111,Customer_10111,Male,61,West,Consumer,2023-01-27
10112,Customer_10112,Male,27,East,Consumer,2025-01-30
10113,Customer_10113,Female,23,South,Small Business,2025-08-09
10114,Customer_10114,Female,34,East,Consumer,2025-01-13
10115,Customer_10115,Female,68,South,Small Business,2024-06-27
10116,Customer_10116,Female,67,South,Small Business,2025-05-09
10117,Customer_10117,Female,55,West,Consumer,2023-11-16
10118,Customer_10118,Male,41,North,Consumer,2023-06-25
10119,Customer_10119,Female,68,North,Consumer,2022-10-24
10120,Customer_10120,Female,27,North,Consumer,2022-02-25
10121,Customer_10121,Female,25,North,Consumer,2024-11-05
10122,Customer_10122,Female,38,North,Consumer,2022-03-07
10123,Customer_10123,Male,23,Central,Consumer,2024-08-15
10124,Customer_10124,Male,38,South,Consumer,2024-11-12
10125,Customer_10125,Male,56,North,Small Business,2023-12-03
10126,Customer_10126,Male,41,South,Consumer,2024-01-30
10127,Customer_10127,Female,50,Central,Enterprise,2023-05-01
10128,Customer_10128,Female,35,East,Enterprise,2025-12-09
10129,Customer_10129,Male,45,South,Enterprise,2024-03-31
10130,Customer_10130,Female,69,Central,Small Business,2024-06-06
10131,Customer_10131,Male,49,South,Consumer,2025-08-21
10132,Customer_10132,Male,29,South,Consumer,2022-06-26
10133,Customer_10133,Male,65,South,Consumer,2022-07-14
10134,Customer_10134,Male,59,South,Consumer,2024-11-02
10135,Customer_10135,Other,44,South,Small Business,2024-05-25
10136,Customer_10136,Male,27,West,Enterprise,2022-06-15
10137,Customer_10137,Female,63,South,Consumer,2025-03-19
10138,Customer_10138,Female,69,East,Consumer,2025-09-26
10139,Customer_10139,Male,59,North,Consumer,2023-07-11
10140,Customer_10140,Unknown,49,North,Consumer,2025-04-12
10141,Customer_10141,Other,59,East,Consumer,2022-06-16
10142,Customer_10142,Male,43,Central,Consumer,2023-12-10
10143,Customer_10143,Female,42,South,Small Business,2023-12-19
10144,Customer_10144,Male,28,West,Consumer,2022-04-07
10145,Customer_10145,Male,40,South,Enterprise,2023-11-10
10146,Customer_10146,Male,51,North,Consumer,2023-02-08
10147,Customer_10147,Female,69,North,Small Business,2025-01-05
10148,Customer_10148,Female,57,South,Consumer,2025-06-14
10149,Customer_10149,Male,40,North,Small Business,2022-10-18
10150,Customer_10150,Male,46,North,Small Business,2022-05-16
10151,Customer_10151,Female,48,West,Consumer,2024-06-07
10152,Customer_10152,Male,24,North,Consumer,2024-05-30
10153,Customer_10153,Male,57,East,Enterprise,2023-01-02
10154,Customer_10154,Female,50,South,Consumer,2023-07-02
10155,Customer_10155,Unknown,38,East,Consumer,2024-06-20
10156,Customer_10156,Male,19,East,Consumer,2022-09-05
10157,Customer_10157,Female,35,South,Small Business,2024-02-05
10158,Customer_10158,Female,64,South,Small Business,2025-05-22
10159,Customer_10159,Male,50,West,Consumer,2022-03-11
10160,Customer_10160,Female,54,Central,Consumer,2024-01-16
10161,Customer_10161,Male,51,North,Enterprise,2024-09-22
10162,Customer_10162,Female,37,North,Small Business,2022-11-25
10163,Customer_10163,Female,52,Central,Small Business,2024-11-05
10164,Customer_10164,Female,68,South,Consumer,2025-04-12
10165,Customer_10165,Male,67,East,Consumer,2023-11-30
10166,Customer_10166,Female,35,South,Consumer,2024-03-16
10167,Customer_10167,Male,63,North,Small Business,2022-10-01
10168,Customer_10168,Male,41,East,Consumer,2023-06-08
10169,Customer_10169,Male,25,East,Consumer,2022-08-07
10170,Customer_10170,Female,47,South,Consumer,2024-10-20
10171,Customer_10171,Female,61,East,Consumer,2023-05-28
10172,Customer_10172,Male,27,West,Small Business,2025-11-23
10173,Customer_10173,Female,40,East,Consumer,2025-02-08
10174,Customer_10174,Male,69,North,Small Business,2023-04-09
10175,Customer_10175,Female,66,East,Enterprise,2025-01-21
10176,Customer_10176,Male,28,West,Consumer,2023-03-27
10177,Customer_10177,Female,19,West,Small Business,2025-11-20
10178,Customer_10178,Male,43,East,Enterprise,2024-07-12
10179,Customer_10179,Female,53,North,Enterprise,2024-07-21
10180,Customer_10180,Male,50,West,Consumer,2023-04-24
10181,Customer_10181,Male,64,West,Consumer,2022-11-12
10182,Customer_10182,Male,30,North,Consumer,2023-11-02
10183,Customer_10183,Female,57,East,Small Business,2023-11-29
10184,Customer_10184,Female,42,South,Small Business,2024-09-19
10185,Customer_10185,Male,21,West,Small Business,2025-10-08
10186,Customer_10186,Female,59,South,Consumer,2024-02-07
10187,Customer_10187,Female,36,East,Consumer,2025-06-16
10188,Customer_10188,Female,35,Central,Consumer,2025-02-01
10189,Customer_10189,Female,54,West,Consumer,2024-06-25
10190,Customer_10190,Male,47,Central,Small Business,2024-05-27
10191,Customer_10191,Male,36,Central,Consumer,2024-11-18
10192,Customer_10192,Female,40,North,Consumer,2022-03-30
10193,Customer_10193,Female,33,East,Consumer,2023-01-10
10194,Customer_10194,Female,18,East,Consumer,2025-11-21
10195,Customer_10195,Male,29,Central,Consumer,2022-12-30
10196,Customer_10196,Male,41,South,Consumer,2022-05-27
10197,Customer_10197,Female,51,Central,Consumer,2022-11-10
10198,Customer_10198,Female,25,East,Consumer,2023-07-02
10199,Customer_10199,Female,35,West,Consumer,2024-03-06
10200,Customer_10200,Female,65,North,Small Business,2024-06-17
10201,Customer_10201,Female,22,North,Consumer,2022-04-11
10202,Customer_10202,Male,43,West,Small Business,2022-04-17
10203,Customer_10203,Male,47,North,Small Business,2024-05-06
10204,Customer_10204,Female,30,West,Consumer,2024-07-25
10205,Customer_10205,Female,36,North,Enterprise,2022-10-18
10206,Customer_10206,Male,46,West,Consumer,2025-10-04
10207,Customer_10207,Male,20,South,Small Business,2023-09-09
10208,Customer_10208,Female,43,East,Enterprise,2023-08-11
10209,Customer_10209,Male,57,West,Small Business,2025-06-04
10210,Customer_10210,Male,29,South,Consumer,2023-08-19
10211,Customer_10211,Female,19,North,Consumer,2024-09-03
10212,Customer_10212,Female,28,North,Consumer,2024-12-09
10213,Customer_10213,Female,61,East,Consumer,2024-05-17
10214,Customer_10214,Male,45,East,Small Business,2024-08-27
10215,Customer_10215,Female,35,West,Consumer,2023-12-23
10216,Customer_10216,Male,30,East,Consumer,2022-06-07
10217,Customer_10217,Male,54,East,Small Business,2022-11-24
10218,Customer_10218,Female,39,South,Consumer,2025-01-05
10219,Customer_10219,Female,29,North,Small Business,2024-01-05
10220,Customer_10220,Female,19,South,Small Business,2023-09-25
10221,Customer_10221,Female,54,Central,Consumer,2025-08-26
10222,Customer_10222,Female,24,Central,Consumer,2022-11-23
10223,Customer_10223,Male,43,South,Consumer,2023-05-23
10224,Customer_10224,Male,43,East,Consumer,2024-05-19
10225,Customer_10225,Male,41,West,Enterprise,2025-02-04
10226,Customer_10226,Male,29,East,Small Business,2022-08-29
10227,Customer_10227,Unknown,33,North,Consumer,2023-03-11
10228,Customer_10228,Male,40,North,Consumer,2024-11-17
10229,Customer_10229,Female,57,East,Consumer,2023-12-05
10230,Customer_10230,Female,26,Central,Consumer,2025-06-26
10231,Customer_10231,Female,49,West,Consumer,2025-10-19
10232,Customer_10232,Female,32,North,Consumer,2023-08-12
10233,Customer_10233,Female,54,North,Consumer,2023-02-17
10234,Customer_10234,Female,30,West,Consumer,2023-07-23
10235,Customer_10235,Male,22,West,Consumer,2025-04-03
10236,Customer_10236,Female,28,East,Enterprise,2024-09-15
10237,Customer_10237,Male,27,East,Small Business,2024-12-07
10238,Customer_10238,Male,69,North,Consumer,2023-04-29
10239,Customer_10239,Female,30,West,Consumer,2025-03-27
10240,Customer_10240,Male,58,West,Consumer,2023-10-30
10241,Customer_10241,Other,63,South,Consumer,2022-05-31
10242,Customer_10242,Other,67,West,Consumer,2022-08-13
10243,Customer_10243,Female,32,South,Small Business,2025-07-07
10244,Customer_10244,Male,59,North,Consumer,2025-11-11
10245,Customer_10245,Male,24,South,Consumer,2022-09-13
10246,Customer_10246,Female,57,North,Consumer,2022-03-02
10247,Customer_10247,Male,45,South,Enterprise,2023-01-31
10248,Customer_10248,Other,49,East,Enterprise,2025-11-21
10249,Customer_10249,Other,52,East,Consumer,2025-03-31
10250,Customer_10250,Female,32,East,Consumer,2023-01-15
10251,Customer_10251,Male,65,South,Consumer,2022-12-15
10252,Customer_10252,Male,53,North,Consumer,2022-01-31
10253,Customer_10253,Female,38,East,Consumer,2022-03-12
10254,Customer_10254,Male,23,South,Consumer,2023-02-01
10255,Customer_10255,Male,18,South,Consumer,2022-01-02
10256,Customer_10256,Female,21,Central,Consumer,2024-07-17
10257,Customer_10257,Female,28,West,Consumer,2023-07-16
10258,Customer_10258,Female,61,Central,Small Business,2025-03-04
10259,Customer_10259,Female,43,East,Consumer,2022-05-26
10260,Customer_10260,Male,54,North,Small Business,2022-06-28
10261,Customer_10261,Female,40,West,Consumer,2022-09-21
10262,Customer_10262,Unknown,46,South,Consumer,2025-08-27
10263,Customer_10263,Male,38,East,Consumer,2022-07-23
10264,Customer_10264,Female,65,North,Small Business,2023-11-30
10265,Customer_10265,Female,62,West,Consumer,2024-11-19
10266,Customer_10266,Female,62,North,Consumer,2022-02-28
10267,Customer_10267,Female,66,Central,Consumer,2024-10-29
10268,Customer_10268,Female,44,Central,Consumer,2024-09-14
10269,Customer_10269,Male,56,East,Enterprise,2025-09-09
10270,Customer_10270,Male,57,West,Consumer,2022-06-16
10271,Customer_10271,Female,30,East,Consumer,2025-09-22
10272,Customer_10272,Female,40,West,Consumer,2024-06-25
10273,Customer_10273,Female,33,East,Small Business,2025-11-03
10274,Customer_10274,Female,47,West,Consumer,2024-06-16
10275,Customer_10275,Female,21,East,Small Business,2024-03-01
10276,Customer_10276,Female,57,Central,Small Business,2022-08-30
10277,Customer_10277,Female,33,East,Consumer,2024-06-26
10278,Customer_10278,Female,48,East,Consumer,2025-03-29
10279,Customer_10279,Female,59,West,Consumer,2024-02-16
10280,Customer_10280,Female,42,West,Small Business,2025-06-12
10281,Customer_10281,Female,61,East,Consumer,2022-07-18
10282,Customer_10282,Male,29,North,Consumer,2024-11-22
10283,Customer_10283,Male,43,East,Small Business,2023-02-12
10284,Customer_10284,Male,54,Central,Consumer,2025-01-17
10285,Customer_10285,Female,65,West,Consumer,2022-08-09
10286,Customer_10286,Male,50,West,Consumer,2024-12-28
10287,Customer_10287,Male,45,North,Consumer,2025-08-10
10288,Customer_10288,Female,26,East,Consumer,2025-06-14
10289,Customer_10289,Male,29,East,Consumer,2025-03-29
10290,Customer_10290,Female,22,West,Enterprise,2024-04-19
10291,Customer_10291,Male,69,North,Consumer,2024-02-27
10292,Customer_10292,Male,45,Central,Small Business,2025-08-06
10293,Customer_10293,Female,52,East,Consumer,2023-07-08
10294,Customer_10294,Male,22,North,Consumer,2023-08-01
10295,Customer_10295,Male,51,South,Small Business,2023-06-17
10296,Customer_10296,Female,63,South,Consumer,2022-12-01
10297,Customer_10297,Female,51,East,Enterprise,2024-10-17
10298,Customer_10298,Male,30,North,Small Business,2022-09-03
10299,Customer_10299,Female,56,North,Consumer,2025-09-08
10300,Customer_10300,Male,59,West,Consumer,2023-09-03
10301,Customer_10301,Male,62,North,Consumer,2022-11-25
10302,Customer_10302,Female,65,South,Consumer,2023-07-01
10303,Customer_10303,Female,31,East,Consumer,2022-12-05
10304,Customer_10304,Female,28,East,Consumer,2025-04-09
10305,Customer_10305,Female,59,West,Consumer,2025-02-07
10306,Customer_10306,Unknown,55,East,Consumer,2024-09-20
10307,Customer_10307,Female,21,West,Small Business,2024-03-17
10308,Customer_10308,Male,50,East,Small Business,2024-10-30
10309,Customer_10309,Female,24,North,Consumer,2025-05-10
10310,Customer_10310,Male,58,North,Small Business,2025-07-04
10311,Customer_10311,Male,25,East,Consumer,2025-07-09
10312,Customer_10312,Male,54,South,Consumer,2023-11-24
10313,Customer_10313,Male,68,West,Consumer,2023-03-06
10314,Customer_10314,Other,27,East,Consumer,2024-12-25
10315,Customer_10315,Female,60,South,Consumer,2024-03-16
10316,Customer_10316,Female,32,North,Small Business,2023-09-04
10317,Customer_10317,Male,55,South,Enterprise,2022-02-04
10318,Customer_10318,Male,32,East,Consumer,2023-07-11
10319,Customer_10319,Male,22,East,Small Business,2023-05-06
10320,Customer_10320,Male,46,East,Consumer,2022-09-11
10321,Customer_10321,Female,36,North,Consumer,2022-01-17
10322,Customer_10322,Female,68,West,Small Business,2022-09-18
10323,Customer_10323,Female,27,Central,Consumer,2025-07-03
10324,Customer_10324,Male,29,South,Consumer,2023-12-29
10325,Customer_10325,Other,21,East,Consumer,2025-12-18
10326,Customer_10326,Female,48,Central,Consumer,2023-05-16
10327,Customer_10327,Female,35,South,Consumer,2024-10-12
10328,Customer_10328,Female,33,East,Consumer,2022-10-13
10329,Customer_10329,Male,57,North,Consumer,2022-01-07
10330,Customer_10330,Male,53,East,Consumer,2025-05-07
10331,Customer_10331,Male,42,North,Consumer,2023-10-21
10332,Customer_10332,Female,40,Central,Consumer,2024-07-25
10333,Customer_10333,Male,29,West,Small Business,2025-12-12
10334,Customer_10334,Male,51,West,Consumer,2022-02-21
10335,Customer_10335,Male,53,West,Consumer,2022-08-31
10336,Customer_10336,Male,54,East,Consumer,2025-05-27
10337,Customer_10337,Female,20,East,Consumer,2023-06-02
10338,Customer_10338,Female,26,Central,Consumer,2024-08-27
10339,Customer_10339,Female,35,Central,Consumer,2022-04-19
10340,Customer_10340,Male,60,East,Enterprise,2025-10-06
10341,Customer_10341,Female,52,Central,Small Business,2024-07-09
10342,Customer_10342,Female,51,East,Consumer,2022-03-07
10343,Customer_10343,Male,58,East,Consumer,2024-10-30
10344,Customer_10344,Male,31,East,Consumer,2022-07-21
10345,Customer_10345,Male,21,South,Consumer,2024-06-19
10346,Customer_10346,Female,46,North,Consumer,2022-08-02
10347,Customer_10347,Female,58,South,Small Business,2022-03-09
10348,Customer_10348,Male,62,East,Consumer,2024-01-29
10349,Customer_10349,Male,67,South,Small Business,2024-05-15
10350,Customer_10350,Female,32,East,Consumer,2022-11-23
10351,Customer_10351,Female,45,Central,Consumer,2024-12-09
10352,Customer_10352,Female,59,South,Consumer,2024-11-06
10353,Customer_10353,Female,33,East,Consumer,2023-06-07
10354,Customer_10354,Male,29,North,Enterprise,2025-08-22
10355,Customer_10355,Male,69,North,Consumer,2025-11-16
10356,Customer_10356,Female,22,West,Consumer,2024-09-14
10357,Customer_10357,Male,51,East,Enterprise,2025-02-21
10358,Customer_10358,Female,59,West,Small Business,2024-09-30
10359,Customer_10359,Other,18,North,Small Business,2023-05-19
10360,Customer_10360,Female,56,East,Enterprise,2025-06-02
10361,Customer_10361,Male,49,South,Consumer,2024-01-26
10362,Customer_10362,Female,43,South,Small Business,2025-09-03
10363,Customer_10363,Male,34,North,Small Business,2023-04-18
10364,Customer_10364,Female,65,North,Small Business,2024-05-07
10365,Customer_10365,Other,44,South,Small Business,2023-06-25
10366,Customer_10366,Male,41,North,Consumer,2025-10-13
10367,Customer_10367,Other,52,Central,Small Business,2024-05-18
10368,Customer_10368,Female,63,South,Consumer,2024-05-27
10369,Customer_10369,Male,59,North,Consumer,2024-07-28
10370,Customer_10370,Male,56,North,Consumer,2024-05-26
10371,Customer_10371,Male,43,East,Enterprise,2025-12-23
10372,Customer_10372,Male,66,North,Consumer,2024-03-07
10373,Customer_10373,Male,55,Central,Consumer,2023-04-17
10374,Customer_10374,Female,40,Central,Consumer,2024-04-17
10375,Customer_10375,Male,39,South,Enterprise,2025-08-16
10376,Customer_10376,Male,21,East,Consumer,2022-03-25
10377,Customer_10377,Female,66,North,Small Business,2023-01-12
10378,Customer_10378,Male,26,East,Small Business,2025-08-29
10379,Customer_10379,Female,21,East,Consumer,2025-09-05
10380,Customer_10380,Male,24,South,Consumer,2022-07-23
10381,Customer_10381,Male,40,South,Small Business,2025-10-10
10382,Customer_10382,Female,19,West,Enterprise,2024-10-05
10383,Customer_10383,Female,66,East,Small Business,2025-08-10
10384,Customer_10384,Female,41,North,Consumer,2023-05-19
10385,Customer_10385,Female,57,West,Small Business,2025-03-14
10386,Customer_10386,Female,48,East,Consumer,2023-06-23
10387,Customer_10387,Male,64,Central,Consumer,2022-01-17
10388,Customer_10388,Male,48,North,Small Business,2023-07-29
10389,Customer_10389,Female,64,West,Consumer,2023-07-30
10390,Customer_10390,Female,57,West,Small Business,2024-10-11
10391,Customer_10391,Unknown,65,North,Consumer,2024-11-28
10392,Customer_10392,Male,68,West,Small Business,2022-05-10
10393,Customer_10393,Male,60,East,Consumer,2022-04-25
10394,Customer_10394,Female,51,Central,Consumer,2024-08-07
10395,Customer_10395,Male,41,North,Small Business,2024-12-04
10396,Customer_10396,Female,66,East,Consumer,2022-08-04
10397,Customer_10397,Female,43,South,Consumer,2024-04-27
10398,Customer_10398,Male,33,Central,Enterprise,2025-12-09
10399,Customer_10399,Female,64,South,Consumer,2023-11-20
10400,Customer_10400,Female,30,Central,Enterprise,2024-09-29
10401,Customer_10401,Male,32,Central,Consumer,2022-09-22
10402,Customer_10402,Female,44,South,Consumer,2023-09-09
10403,Customer_10403,Female,21,West,Small Business,2025-11-05
10404,Customer_10404,Female,33,Central,Small Business,2022-10-28
10405,Customer_10405,Male,47,South,Consumer,2024-09-11
10406,Customer_10406,Female,61,East,Consumer,2025-04-09
10407,Customer_10407,Male,47,East,Small Business,2023-02-10
10408,Customer_10408,Male,53,South,Consumer,2025-10-10
10409,Customer_10409,Female,20,North,Consumer,2022-06-10
10410,Customer_10410,Male,39,South,Consumer,2022-01-26
10411,Customer_10411,Male,66,South,Consumer,2022-03-24
10412,Customer_10412,Other,39,East,Consumer,2022-06-22
10413,Customer_10413,Other,67,North,Consumer,2024-09-25
10414,Customer_10414,Female,67,Central,Consumer,2024-03-04
10415,Customer_10415,Female,66,West,Consumer,2024-12-29
10416,Customer_10416,Male,29,North,Consumer,2024-04-14
10417,Customer_10417,Male,38,West,Small Business,2022-01-06
10418,Customer_10418,Male,21,West,Consumer,2024-03-06
10419,Customer_10419,Female,48,Central,Small Business,2025-05-03
10420,Customer_10420,Female,61,North,Small Business,2023-06-09
10421,Customer_10421,Female,48,South,Consumer,2022-03-04
10422,Customer_10422,Female,40,Central,Consumer,2024-11-02
10423,Customer_10423,Male,37,Central,Consumer,2024-01-31
10424,Customer_10424,Female,32,West,Small Business,2022-07-24
10425,Customer_10425,Male,40,West,Enterprise,2024-06-15
10426,Customer_10426,Female,45,North,Consumer,2022-02-09
10427,Customer_10427,Male,33,East,Small Business,2025-04-03
10428,Customer_10428,Female,54,South,Consumer,2024-11-20
10429,Customer_10429,Male,38,North,Consumer,2024-05-26
10430,Customer_10430,Male,32,West,Small Business,2024-04-04
10431,Customer_10431,Male,34,North,Consumer,2024-06-27
10432,Customer_10432,Female,67,East,Consumer,2023-02-02
10433,Customer_10433,Female,54,Central,Consumer,2025-05-31
10434,Customer_10434,Male,30,North,Small Business,2023-09-26
10435,Customer_10435,Male,36,Central,Consumer,2025-01-06
10436,Customer_10436,Female,47,Central,Enterprise,2024-04-18
10437,Customer_10437,Male,62,East,Consumer,2023-08-23
10438,Customer_10438,Female,35,North,Consumer,2023-09-17
10439,Customer_10439,Female,31,South,Small Business,2024-07-26
10440,Customer_10440,Male,53,East,Consumer,2024-06-02
10441,Customer_10441,Male,53,South,Small Business,2025-12-22
10442,Customer_10442,Unknown,37,South,Consumer,2023-03-01
10443,Customer_10443,Male,69,Central,Consumer,2023-01-22
10444,Customer_10444,Male,36,North,Consumer,2025-06-16
10445,Customer_10445,Female,62,West,Enterprise,2024-09-30
10446,Customer_10446,Other,61,North,Consumer,2024-05-07
10447,Customer_10447,Unknown,24,East,Small Business,2023-09-15
10448,Customer_10448,Female,61,Central,Consumer,2022-03-31
10449,Customer_10449,Male,21,South,Consumer,2023-01-20
10450,Customer_10450,Male,51,North,Consumer,2025-03-08
10451,Customer_10451,Female,19,West,Enterprise,2024-09-23
10452,Customer_10452,Female,22,West,Small Business,2023-10-09
10453,Customer_10453,Male,27,West,Small Business,2025-06-21
10454,Customer_10454,Female,49,South,Consumer,2023-02-26
10455,Customer_10455,Male,59,South,Consumer,2025-04-20
10456,Customer_10456,Female,58,Central,Consumer,2025-05-03
10457,Customer_10457,Male,30,Central,Enterprise,2024-05-23
10458,Customer_10458,Male,56,East,Consumer,2022-02-22
10459,Customer_10459,Male,22,West,Consumer,2024-09-12
10460,Customer_10460,Male,27,East,Consumer,2024-10-10
10461,Customer_10461,Male,27,East,Consumer,2023-11-16
10462,Customer_10462,Female,55,North,Consumer,2022-06-28
10463,Customer_10463,Female,44,East,Small Business,2022-10-20
10464,Customer_10464,Female,68,East,Consumer,2023-01-10
10465,Customer_10465,Other,38,North,Small Business,2024-12-18
10466,Customer_10466,Male,25,East,Small Business,2024-12-13
10467,Customer_10467,Male,18,West,Consumer,2025-06-22
10468,Customer_10468,Female,45,West,Consumer,2025-03-18
10469,Customer_10469,Male,66,East,Consumer,2024-03-06
10470,Customer_10470,Other,56,Central,Enterprise,2025-10-23
10471,Customer_10471,Male,31,North,Consumer,2022-01-16
10472,Customer_10472,Other,38,East,Consumer,2022-06-25
10473,Customer_10473,Male,47,West,Consumer,2025-11-30
10474,Customer_10474,Female,38,East,Consumer,2022-05-09
10475,Customer_10475,Female,66,South,Consumer,2025-05-31
